price,room_type,number_of_reviews,reviews_per_month,city
81.0,Entire home/apt,4,4.0,Barcelona
15.0,Private room,18,1.15,Barcelona
70.0,Entire home/apt,130,2.77,Barcelona
150.0,Entire home/apt,18,0.39,Barcelona
80.0,Private room,0,,Barcelona
50.0,Private room,147,4.15,Barcelona
60.0,Entire home/apt,41,3.13,Barcelona
225.0,Entire home/apt,7,0.11,Barcelona
135.0,Entire home/apt,5,0.44,Barcelona
109.0,Entire home/apt,1,0.11,Barcelona
95.0,Entire home/apt,1,0.75,Barcelona
120.0,Entire home/apt,79,1.99,Barcelona
20.0,Shared room,49,3.57,Barcelona
500.0,Entire home/apt,25,0.56,Barcelona
80.0,Entire home/apt,6,0.7,Barcelona
45.0,Private room,0,,Barcelona
89.0,Entire home/apt,53,1.1,Barcelona
50.0,Private room,110,1.64,Barcelona
70.0,Entire home/apt,12,0.63,Barcelona
16.0,Private room,7,1.12,Barcelona
15.0,Private room,12,1.74,Barcelona
12.0,Private room,21,1.55,Barcelona
50.0,Private room,4,0.18,Barcelona
25.0,Private room,3,1.06,Barcelona
35.0,Private room,0,,Barcelona
30.0,Private room,141,2.95,Barcelona
27.0,Private room,27,2.76,Barcelona
65.0,Entire home/apt,117,3.31,Barcelona
100.0,Entire home/apt,26,0.94,Barcelona
99.0,Entire home/apt,8,0.58,Barcelona
25.0,Private room,22,0.39,Barcelona
30.0,Private room,33,1.05,Barcelona
50.0,Entire home/apt,0,,Barcelona
29.0,Private room,0,,Barcelona
47.0,Entire home/apt,5,2.88,Barcelona
17.0,Private room,44,6.41,Barcelona
32.0,Private room,15,1.84,Barcelona
450.0,Entire home/apt,1,0.03,Barcelona
22.0,Private room,0,,Barcelona
20.0,Private room,26,2.29,Barcelona
16.0,Private room,1,0.13,Barcelona
125.0,Entire home/apt,1,0.11,Barcelona
253.0,Entire home/apt,5,0.21,Barcelona
40.0,Private room,5,0.37,Barcelona
229.0,Entire home/apt,35,0.97,Barcelona
35.0,Private room,4,3.33,Barcelona
25.0,Private room,0,,Barcelona
50.0,Entire home/apt,5,0.63,Barcelona
175.0,Entire home/apt,15,0.62,Barcelona
30.0,Private room,3,2.57,Barcelona
70.0,Entire home/apt,49,2.96,Barcelona
26.0,Private room,31,0.68,Barcelona
42.0,Private room,10,1.27,Barcelona
22.0,Private room,41,2.57,Barcelona
50.0,Entire home/apt,0,,Barcelona
60.0,Private room,7,0.92,Barcelona
30.0,Shared room,33,1.45,Barcelona
20.0,Private room,1,0.03,Barcelona
25.0,Private room,0,,Barcelona
35.0,Private room,0,,Barcelona
40.0,Private room,0,,Barcelona
220.0,Entire home/apt,0,,Barcelona
40.0,Private room,42,1.35,Barcelona
110.0,Entire home/apt,34,1.1,Barcelona
160.0,Entire home/apt,1,0.05,Barcelona
59.0,Private room,26,0.78,Barcelona
40.0,Private room,0,,Barcelona
40.0,Private room,2,0.19,Barcelona
139.0,Entire home/apt,17,0.75,Barcelona
80.0,Private room,0,,Barcelona
30.0,Private room,10,1.48,Barcelona
60.0,Entire home/apt,6,0.74,Barcelona
80.0,Entire home/apt,9,0.76,Barcelona
24.0,Private room,1,0.79,Barcelona
67.0,Entire home/apt,6,0.39,Barcelona
,Entire home/apt,1,1.0,Barcelona
40.0,Private room,0,,Barcelona
313.0,Entire home/apt,29,1.6,Barcelona
105.0,Entire home/apt,5,0.76,Barcelona
97.0,Entire home/apt,1,0.77,Barcelona
25.0,Private room,1,0.15,Barcelona
139.0,Entire home/apt,7,0.38,Barcelona
220.0,Entire home/apt,0,,Barcelona
60.0,Private room,0,,Barcelona
142.0,Entire home/apt,11,1.16,Barcelona
40.0,Private room,1,0.13,Barcelona
100.0,Entire home/apt,5,0.15,Barcelona
98.0,Private room,1,0.75,Barcelona
28.0,Private room,0,,Barcelona
150.0,Entire home/apt,12,1.03,Barcelona
80.0,Entire home/apt,3,0.09,Barcelona
78.0,Entire home/apt,1,0.65,Barcelona
25.0,Private room,15,2.0,Barcelona
105.0,Entire home/apt,14,1.09,Barcelona
180.0,Entire home/apt,77,1.56,Barcelona
90.0,Entire home/apt,16,2.59,Barcelona
100.0,Entire home/apt,30,0.67,Barcelona
100.0,Entire home/apt,65,1.72,Barcelona
90.0,Entire home/apt,88,2.44,Barcelona
151.0,Entire home/apt,0,,Barcelona
100.0,Entire home/apt,8,0.46,Barcelona
39.0,Private room,5,0.9,Barcelona
55.0,Entire home/apt,12,0.46,Barcelona
40.0,Private room,100,2.06,Barcelona
57.0,Private room,11,0.54,Barcelona
20.0,Private room,37,1.36,Barcelona
70.0,Entire home/apt,67,2.59,Barcelona
95.0,Entire home/apt,1,0.13,Barcelona
80.0,Entire home/apt,5,0.79,Barcelona
150.0,Private room,1,0.07,Barcelona
51.0,Private room,2,0.15,Barcelona
72.0,Entire home/apt,108,2.43,Barcelona
54.0,Private room,16,0.79,Barcelona
25.0,Private room,0,,Barcelona
34.0,Private room,0,,Barcelona
69.0,Entire home/apt,63,1.31,Barcelona
130.0,Entire home/apt,0,,Barcelona
120.0,Entire home/apt,70,2.02,Barcelona
50.0,Entire home/apt,68,3.43,Barcelona
15.0,Private room,416,6.07,Barcelona
130.0,Entire home/apt,1,0.79,Barcelona
65.0,Private room,46,2.2,Barcelona
50.0,Private room,2,0.11,Barcelona
49.0,Private room,22,1.07,Barcelona
116.0,Entire home/apt,22,0.32,Barcelona
35.0,Private room,21,0.54,Barcelona
90.0,Entire home/apt,2,0.45,Barcelona
40.0,Private room,4,0.13,Barcelona
140.0,Entire home/apt,0,,Barcelona
100.0,Private room,0,,Barcelona
260.0,Entire home/apt,8,0.31,Barcelona
20.0,Shared room,3,0.34,Barcelona
129.0,Entire home/apt,60,1.34,Barcelona
129.0,Entire home/apt,59,1.32,Barcelona
90.0,Entire home/apt,39,1.41,Barcelona
120.0,Entire home/apt,3,0.13,Barcelona
55.0,Private room,20,2.17,Barcelona
400.0,Entire home/apt,21,1.03,Barcelona
60.0,Private room,5,0.63,Barcelona
30.0,Private room,0,,Barcelona
26.0,Private room,81,2.56,Barcelona
45.0,Private room,1,0.19,Barcelona
40.0,Private room,11,0.91,Barcelona
26.0,Private room,13,0.62,Barcelona
119.0,Private room,3,0.15,Barcelona
35.0,Private room,122,2.13,Barcelona
15.0,Private room,0,,Barcelona
25.0,Private room,0,,Barcelona
50.0,Entire home/apt,53,1.69,Barcelona
19.0,Private room,69,1.91,Barcelona
39.0,Private room,6,0.19,Barcelona
62.0,Entire home/apt,58,1.57,Barcelona
35.0,Private room,14,0.35,Barcelona
32.0,Private room,106,1.84,Barcelona
38.0,Private room,17,0.74,Barcelona
99.0,Entire home/apt,1,0.13,Barcelona
125.0,Entire home/apt,65,1.08,Barcelona
35.0,Private room,0,,Barcelona
125.0,Entire home/apt,59,3.24,Barcelona
139.0,Entire home/apt,7,1.01,Barcelona
60.0,Entire home/apt,200,4.8,Barcelona
120.0,Entire home/apt,83,2.49,Barcelona
180.0,Entire home/apt,2,0.07,Barcelona
32.0,Private room,50,7.73,Barcelona
30.0,Private room,20,1.91,Barcelona
59.0,Entire home/apt,88,2.65,Barcelona
95.0,Entire home/apt,22,0.67,Barcelona
68.0,Entire home/apt,88,1.94,Barcelona
120.0,Entire home/apt,148,6.91,Barcelona
234.0,Entire home/apt,93,1.52,Barcelona
35.0,Entire home/apt,72,3.02,Barcelona
15.0,Private room,0,,Barcelona
85.0,Entire home/apt,8,2.35,Barcelona
160.0,Entire home/apt,1,0.1,Barcelona
